seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
73,-2496,1280,10160,-245,94,-530,-0.13,-0.2,0.94,-0.24115,-19.747936,-20.355001,149.12645,2079,3954,-2800,668,-2752,-4446
74,-2420,1164,12020,-103,160,-378,-0.13,-0.2,0.94,-0.236755,-19.920156,-20.245239,149.640945,1844,3655,-2333,611,-2625,-3864
75,-4064,504,12824,-47,175,-198,-0.13,-0.2,0.94,-0.233887,-19.871326,-20.248085,149.955963,1570,3369,-1710,591,-2571,-3126
76,-4348,396,12680,45,107,-114,-0.13,-0.2,0.94,-0.232422,-19.699701,-20.3393,150.092255,1164,3081,-1307,730,-2368,-2532
77,-4592,600,13868,136,165,-39,-0.14,-0.2,0.94,-0.231628,-19.386347,-20.440205,150.1548,947,2933,-1075,807,-2278,-2193
78,-5660,332,15396,170,189,71,-0.14,-0.2,0.94,-0.231567,-18.921303,-20.642046,150.110245,666,2809,-524,900,-2322,-1551
79,-7012,0,15896,168,185,123,-0.14,-0.19,0.94,-0.232422,-18.388971,-20.917103,149.94664,281,2623,-14,1055,-2249,-885
80,-6936,436,16492,177,166,96,-0.15,-0.19,0.94,-0.233459,-17.861296,-21.217175,149.754379,-63,2482,353,1215,-2161,-373
81,-7488,780,18052,192,112,126,-0.15,-0.18,0.94,-0.234497,-17.293173,-21.480013,149.575439,-264,2471,739,1307,-2237,69
82,-8084,1144,19500,90,-7,138,-0.15,-0.18,0.94,-0.236145,-16.675301,-21.644152,149.357986,-542,2500,1363,1433,-2406,746
83,-8344,1196,17436,-136,-72,70,-0.15,-0.18,0.94,-0.238098,-16.224669,-21.69235,149.137314,-792,2594,1703,1624,-2513,1138
